n_episode :5740, score : 490.1, n_buffer : 50000, eps : 1.0%
n_episode :5760, score : 451.9, n_buffer : 50000, eps : 1.0%
n_episode :5780, score : 389.2, n_buffer : 50000, eps : 1.0%
n_episode :5800, score : 455.3, n_buffer : 50000, eps : 1.0%
n_episode :5820, score : 376.8, n_buffer : 50000, eps : 1.0%
n_episode :5840, score : 339.9, n_buffer : 50000, eps : 1.0%
n_episode :5860, score : 428.4, n_buffer : 50000, eps : 1.0%
n_episode :5880, score : 433.1, n_buffer : 50000, eps : 1.0%
n_episode :5900, score : 458.2, n_buffer : 50000, eps : 1.0%
n_episode :5920, score : 426.9, n_buffer : 50000, eps : 1.0%
n_episode :5940, score : 457.3, n_buffer : 50000, eps : 1.0%
n_episode :5960, score : 442.6, n_buffer : 50000, eps : 1.0%
n_episode :5980, score : 444.7, n_buffer : 50000, eps : 1.0%
n_episode :6000, score : 318.4, n_buffer : 50000, eps : 1.0%
n_episode :6020, score : 335.9, n_buffer : 50000, eps : 1.0%
n_episode :6040, score : 419.9, n_buffer : 50000, eps : 1.0%
n_episode :6060, score : 246.8, n_buffer : 50000, eps : 1.0%
n_episode :6080, score : 369.6, n_buffer : 50000, eps : 1.0%
n_episode :6100, score : 283.9, n_buffer : 50000, eps : 1.0%
n_episode :6120, score : 284.6, n_buffer : 50000, eps : 1.0%
n_episode :6140, score : 254.8, n_buffer : 50000, eps : 1.0%
n_episode :6160, score : 146.0, n_buffer : 50000, eps : 1.0%
n_episode :6180, score : 225.7, n_buffer : 50000, eps : 1.0%
n_episode :6200, score : 141.7, n_buffer : 50000, eps : 1.0%
n_episode :6220, score : 220.8, n_buffer : 50000, eps : 1.0%
n_episode :6240, score : 274.9, n_buffer : 50000, eps : 1.0%
n_episode :6260, score : 268.3, n_buffer : 50000, eps : 1.0%
n_episode :6280, score : 171.2, n_buffer : 50000, eps : 1.0%
n_episode :6300, score : 220.9, n_buffer : 50000, eps : 1.0%
n_episode :6320, score : 160.6, n_buffer : 50000, eps : 1.0%
n_episode :6340, score : 149.8, n_buffer : 50000, eps : 1.0%
n_episode :6360, score : 138.2, n_buffer : 50000, eps : 1.0%
n_episode :6380, score : 125.2, n_buffer : 50000, eps : 1.0%
n_episode :6400, score : 117.7, n_buffer : 50000, eps : 1.0%
n_episode :6420, score : 141.8, n_buffer : 50000, eps : 1.0%
n_episode :6440, score : 163.2, n_buffer : 50000, eps : 1.0%
n_episode :6460, score : 160.1, n_buffer : 50000, eps : 1.0%
n_episode :6480, score : 175.6, n_buffer : 50000, eps : 1.0%
n_episode :6500, score : 161.3, n_buffer : 50000, eps : 1.0%
n_episode :6520, score : 146.4, n_buffer : 50000, eps : 1.0%
n_episode :6540, score : 141.5, n_buffer : 50000, eps : 1.0%
n_episode :6560, score : 147.3, n_buffer : 50000, eps : 1.0%
n_episode :6580, score : 128.3, n_buffer : 50000, eps : 1.0%
n_episode :6600, score : 131.6, n_buffer : 50000, eps : 1.0%
n_episode :6620, score : 131.9, n_buffer : 50000, eps : 1.0%
n_episode :6640, score : 154.5, n_buffer : 50000, eps : 1.0%
n_episode :6660, score : 200.1, n_buffer : 50000, eps : 1.0%
n_episode :6680, score : 190.9, n_buffer : 50000, eps : 1.0%
n_episode :6700, score : 158.4, n_buffer : 50000, eps : 1.0%
n_episode :6720, score : 186.0, n_buffer : 50000, eps : 1.0%
n_episode :6740, score : 174.3, n_buffer : 50000, eps : 1.0%
n_episode :6760, score : 183.3, n_buffer : 50000, eps : 1.0%
n_episode :6780, score : 224.8, n_buffer : 50000, eps : 1.0%
n_episode :6800, score : 438.3, n_buffer : 50000, eps : 1.0%
n_episode :6820, score : 486.9, n_buffer : 50000, eps : 1.0%
n_episode :6840, score : 415.4, n_buffer : 50000, eps : 1.0%
n_episode :6860, score : 388.6, n_buffer : 50000, eps : 1.0%
n_episode :6880, score : 266.4, n_buffer : 50000, eps : 1.0%
n_episode :6900, score : 232.0, n_buffer : 50000, eps : 1.0%
n_episode :6920, score : 294.6, n_buffer : 50000, eps : 1.0%
n_episode :6940, score : 307.7, n_buffer : 50000, eps : 1.0%
n_episode :6960, score : 355.5, n_buffer : 50000, eps : 1.0%
n_episode :6980, score : 303.9, n_buffer : 50000, eps : 1.0%
n_episode :7000, score : 250.8, n_buffer : 50000, eps : 1.0%
n_episode :7020, score : 212.8, n_buffer : 50000, eps : 1.0%
n_episode :7040, score : 410.9, n_buffer : 50000, eps : 1.0%
n_episode :7060, score : 445.6, n_buffer : 50000, eps : 1.0%
n_episode :7080, score : 486.4, n_buffer : 50000, eps : 1.0%
n_episode :7100, score : 495.1, n_buffer : 50000, eps : 1.0%
n_episode :7120, score : 475.2, n_buffer : 50000, eps : 1.0%
n_episode :7140, score : 476.6, n_buffer : 50000, eps : 1.0%
n_episode :7160, score : 468.2, n_buffer : 50000, eps : 1.0%
n_episode :7180, score : 487.4, n_buffer : 50000, eps : 1.0%
n_episode :7200, score : 475.5, n_buffer : 50000, eps : 1.0%
n_episode :7220, score : 455.5, n_buffer : 50000, eps : 1.0%
n_episode :7240, score : 487.6, n_buffer : 50000, eps : 1.0%
n_episode :7260, score : 426.4, n_buffer : 50000, eps : 1.0%
n_episode :7280, score : 437.3, n_buffer : 50000, eps : 1.0%
n_episode :7300, score : 448.6, n_buffer : 50000, eps : 1.0%
n_episode :7320, score : 403.3, n_buffer : 50000, eps : 1.0%
n_episode :7340, score : 412.6, n_buffer : 50000, eps : 1.0%
n_episode :7360, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :7380, score : 420.9, n_buffer : 50000, eps : 1.0%
n_episode :7400, score : 381.3, n_buffer : 50000, eps : 1.0%
n_episode :7420, score : 390.6, n_buffer : 50000, eps : 1.0%
n_episode :7440, score : 390.1, n_buffer : 50000, eps : 1.0%
n_episode :7460, score : 486.7, n_buffer : 50000, eps : 1.0%
n_episode :7480, score : 376.8, n_buffer : 50000, eps : 1.0%
n_episode :7500, score : 243.8, n_buffer : 50000, eps : 1.0%
n_episode :7520, score : 345.8, n_buffer : 50000, eps : 1.0%
n_episode :7540, score : 465.6, n_buffer : 50000, eps : 1.0%
n_episode :7560, score : 384.3, n_buffer : 50000, eps : 1.0%
n_episode :7580, score : 480.9, n_buffer : 50000, eps : 1.0%
n_episode :7600, score : 457.9, n_buffer : 50000, eps : 1.0%
n_episode :7620, score : 454.2, n_buffer : 50000, eps : 1.0%
n_episode :7640, score : 369.4, n_buffer : 50000, eps : 1.0%
n_episode :7660, score : 483.6, n_buffer : 50000, eps : 1.0%
n_episode :7680, score : 446.4, n_buffer : 50000, eps : 1.0%
n_episode :7700, score : 459.9, n_buffer : 50000, eps : 1.0%
n_episode :7720, score : 468.0, n_buffer : 50000, eps : 1.0%
n_episode :7740, score : 500.0, n_buffer : 50000, eps : 1.0%
n_episode :7760, score : 382.4, n_buffer : 50000, eps : 1.0%
n_episode :7780, score : 387.1, n_buffer : 50000, eps : 1.0%
n_episode :7800, score : 465.8, n_buffer : 50000, eps : 1.0%
n_episode :7820, score : 468.8, n_buffer : 50000, eps : 1.0%
n_episode :7840, score : 425.9, n_buffer : 50000, eps : 1.0%
n_episode :7860, score : 404.1, n_buffer : 50000, eps : 1.0%
n_episode :7880, score : 384.5, n_buffer : 50000, eps : 1.0%
n_episode :7900, score : 324.9, n_buffer : 50000, eps : 1.0%
n_episode :7920, score : 405.4, n_buffer : 50000, eps : 1.0%
n_episode :7940, score : 347.2, n_buffer : 50000, eps : 1.0%
